learner,opponent,seed,learner_seat,result,winner_seat,decisions,latency_ms,memory_mb,failure,engine_seed_controlled,diagnostics_json
our_lopunny_froslass_g1,archaludon,20300720,1,loss,0,112,6461.669,,,False,"[{},{""model_actions"":57,""fallback_actions"":0,""load_errors"":0,""inference_errors"":0,""illegal_model_actions"":0,""low_confidence_actions"":0,""illegal_fallback_actions"":0,""emergency_legal_actions"":0,""checkpoint"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/lopunny_froslass_g1/checkpoint.pt"",""checkpoint_exists"":true,""checkpoint_sha256"":""f74ff7dab2544b853ae087e867893ba8a49f3b018e2c2e691ea118d6dbf0b0ca"",""history_enabled"":false,""history_tokens"":0,""structured"":true,""deck_cards"":60,""confidence_threshold"":0.0,""last_confidence"":0.7637525796890259,""package_root"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/lopunny_froslass_g1""}]"
our_lopunny_froslass_g1,alakazam_5th,20290719,1,loss,0,115,2793.532,,,False,"[{},{""model_actions"":52,""fallback_actions"":0,""load_errors"":0,""inference_errors"":0,""illegal_model_actions"":0,""low_confidence_actions"":0,""illegal_fallback_actions"":0,""emergency_legal_actions"":0,""checkpoint"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/lopunny_froslass_g1/checkpoint.pt"",""checkpoint_exists"":true,""checkpoint_sha256"":""f74ff7dab2544b853ae087e867893ba8a49f3b018e2c2e691ea118d6dbf0b0ca"",""history_enabled"":false,""history_tokens"":0,""structured"":true,""deck_cards"":60,""confidence_threshold"":0.0,""last_confidence"":0.8121487498283386,""package_root"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/lopunny_froslass_g1""}]"
our_lopunny_froslass_g1,roman_recent_885,20400720,1,loss,0,114,5532.605,,,False,"[{},{""model_actions"":43,""fallback_actions"":0,""load_errors"":0,""inference_errors"":0,""illegal_model_actions"":0,""low_confidence_actions"":0,""illegal_fallback_actions"":0,""emergency_legal_actions"":0,""checkpoint"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/lopunny_froslass_g1/checkpoint.pt"",""checkpoint_exists"":true,""checkpoint_sha256"":""f74ff7dab2544b853ae087e867893ba8a49f3b018e2c2e691ea118d6dbf0b0ca"",""history_enabled"":false,""history_tokens"":0,""structured"":true,""deck_cards"":60,""confidence_threshold"":0.0,""last_confidence"":1.0,""package_root"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/lopunny_froslass_g1""}]"
our_dragapult_munkidori_g1,dragapult,21320720,1,loss,0,40,2060.06,,,False,"[{},{""model_actions"":14,""fallback_actions"":0,""load_errors"":0,""inference_errors"":0,""illegal_model_actions"":0,""low_confidence_actions"":0,""illegal_fallback_actions"":0,""emergency_legal_actions"":0,""checkpoint"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/dragapult_munkidori_g1/checkpoint.pt"",""checkpoint_exists"":true,""checkpoint_sha256"":""8ce5cd8c0fd63ae46a31fd6e0981a252874789d9a3626563c779e95ef6884bf7"",""history_enabled"":false,""history_tokens"":0,""structured"":true,""deck_cards"":60,""confidence_threshold"":0.0,""last_confidence"":0.7653400301933289,""package_root"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/dragapult_munkidori_g1""}]"
our_dragapult_munkidori_g1,probabilistic,21360719,0,loss,1,218,2990.033,,,False,"[{""model_actions"":129,""fallback_actions"":0,""load_errors"":0,""inference_errors"":0,""illegal_model_actions"":0,""low_confidence_actions"":0,""illegal_fallback_actions"":0,""emergency_legal_actions"":0,""checkpoint"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/dragapult_munkidori_g1/checkpoint.pt"",""checkpoint_exists"":true,""checkpoint_sha256"":""8ce5cd8c0fd63ae46a31fd6e0981a252874789d9a3626563c779e95ef6884bf7"",""history_enabled"":false,""history_tokens"":0,""structured"":true,""deck_cards"":60,""confidence_threshold"":0.0,""last_confidence"":0.7534566521644592,""package_root"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/dragapult_munkidori_g1""},{}]"
our_lopunny_froslass_g1,iono,20330719,0,win,0,43,2326.483,,,False,"[{""model_actions"":37,""fallback_actions"":0,""load_errors"":0,""inference_errors"":0,""illegal_model_actions"":0,""low_confidence_actions"":0,""illegal_fallback_actions"":0,""emergency_legal_actions"":0,""checkpoint"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/lopunny_froslass_g1/checkpoint.pt"",""checkpoint_exists"":true,""checkpoint_sha256"":""f74ff7dab2544b853ae087e867893ba8a49f3b018e2c2e691ea118d6dbf0b0ca"",""history_enabled"":false,""history_tokens"":0,""structured"":true,""deck_cards"":60,""confidence_threshold"":0.0,""last_confidence"":0.8059139847755432,""package_root"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/lopunny_froslass_g1""},{}]"
our_lopunny_froslass_g1,grim_hybrid_909,20380720,1,loss,0,231,5337.543,,,False,"[{},{""model_actions"":119,""fallback_actions"":0,""load_errors"":0,""inference_errors"":0,""illegal_model_actions"":0,""low_confidence_actions"":0,""illegal_fallback_actions"":0,""emergency_legal_actions"":0,""checkpoint"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/lopunny_froslass_g1/checkpoint.pt"",""checkpoint_exists"":true,""checkpoint_sha256"":""f74ff7dab2544b853ae087e867893ba8a49f3b018e2c2e691ea118d6dbf0b0ca"",""history_enabled"":false,""history_tokens"":0,""structured"":true,""deck_cards"":60,""confidence_threshold"":0.0,""last_confidence"":1.0,""package_root"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/lopunny_froslass_g1""}]"
our_dragapult_munkidori_g1,probabilistic,21360720,1,loss,0,204,2823.554,,,False,"[{},{""model_actions"":113,""fallback_actions"":0,""load_errors"":0,""inference_errors"":0,""illegal_model_actions"":0,""low_confidence_actions"":0,""illegal_fallback_actions"":0,""emergency_legal_actions"":0,""checkpoint"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/dragapult_munkidori_g1/checkpoint.pt"",""checkpoint_exists"":true,""checkpoint_sha256"":""8ce5cd8c0fd63ae46a31fd6e0981a252874789d9a3626563c779e95ef6884bf7"",""history_enabled"":false,""history_tokens"":0,""structured"":true,""deck_cards"":60,""confidence_threshold"":0.0,""last_confidence"":0.6787633299827576,""package_root"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/dragapult_munkidori_g1""}]"
our_lopunny_froslass_g1,parent_dragapult_g0,20270720,0,win,0,198,3019.245,,,False,"[{""model_actions"":78,""fallback_actions"":0,""load_errors"":0,""inference_errors"":0,""illegal_model_actions"":0,""low_confidence_actions"":0,""illegal_fallback_actions"":0,""emergency_legal_actions"":0,""checkpoint"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/lopunny_froslass_g1/checkpoint.pt"",""checkpoint_exists"":true,""checkpoint_sha256"":""f74ff7dab2544b853ae087e867893ba8a49f3b018e2c2e691ea118d6dbf0b0ca"",""history_enabled"":false,""history_tokens"":0,""structured"":true,""deck_cards"":60,""confidence_threshold"":0.0,""last_confidence"":0.18823300302028656,""package_root"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/lopunny_froslass_g1""},{""model_actions"":120,""fallback_actions"":0,""load_errors"":0,""inference_errors"":0,""illegal_model_actions"":0,""low_confidence_actions"":0,""illegal_fallback_actions"":0,""emergency_legal_actions"":0,""checkpoint"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/dragapult_munkidori_g0/checkpoint.pt"",""checkpoint_exists"":true,""checkpoint_sha256"":""cf9631897196c825dd535ac91c73abf0fbef0f3dda812fbb7193629acf65527f"",""history_enabled"":false,""history_tokens"":0,""structured"":true,""deck_cards"":60,""confidence_threshold"":0.0,""last_confidence"":1.0,""package_root"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/dragapult_munkidori_g0""}]"
our_dragapult_munkidori_g1,simple_matchup,21390720,0,loss,1,234,2457.533,,,False,"[{""model_actions"":151,""fallback_actions"":0,""load_errors"":0,""inference_errors"":0,""illegal_model_actions"":0,""low_confidence_actions"":0,""illegal_fallback_actions"":0,""emergency_legal_actions"":0,""checkpoint"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/dragapult_munkidori_g1/checkpoint.pt"",""checkpoint_exists"":true,""checkpoint_sha256"":""8ce5cd8c0fd63ae46a31fd6e0981a252874789d9a3626563c779e95ef6884bf7"",""history_enabled"":false,""history_tokens"":0,""structured"":true,""deck_cards"":60,""confidence_threshold"":0.0,""last_confidence"":0.9819155931472778,""package_root"":""/homes/lzhang/pocketmon/results/our_agents_2026-08-06/dragapult_munkidori_g1""},{}]"
