experiment_id,status,hypothesis,candidate_commit,champion_commit,seeds,games,win_rate,ci_lower,main_metric,latency_ms,memory_mb,failures,opponent_snapshot,recommendation,risks
league-v1-bootstrap,planned,"Ten diverse learners trained against a fixed daily public snapshot can all exceed the public pool gate",TBD,4762ba17fc01ca95b8f4f2207a0277782d9027f4,TBD,0,TBD,TBD,min_matchup_wilson_lower,TBD,TBD,TBD,TBD,run_on_server,"No gameplay result yet; notebook code is untrusted"
DATA-001,implemented_pending_server,"Public replay actions are recorded with the following step and therefore align to the previous-step player observation",b3574d947cd871ff976bc99cbff4a4ab5171b176,4762ba17fc01ca95b8f4f2207a0277782d9027f4,synthetic_shifted_replay,0,N/A,N/A,legal_label_rate,TBD,TBD,0,N/A,run_on_real_replays,"Synthetic test passes previous=100% vs same=25%; real replay schema not yet validated"
DATA-002,implemented_pending_server,"A validated single-player-view converter can produce leakage-controlled offline-RL rows with zero invalid actions",b3574d947cd871ff976bc99cbff4a4ab5171b176,4762ba17fc01ca95b8f4f2207a0277782d9027f4,synthetic_shifted_replay,0,N/A,N/A,invalid_action_rate,TBD,TBD,0,N/A,run_after_DATA-001,"Synthetic conversion produced 4 rows with 0 invalid actions; real manifest and terminal-result variants remain unverified"
DATA-001-real-2026-07-18,failed_real_data,"Public replay actions are recorded with the following step and therefore align to the previous-step player observation",c3cef894decd0977f604c3ea0e5a312320d1ef87,4762ba17fc01ca95b8f4f2207a0277782d9027f4,real_public_replays_2026-07-18_100_episodes,0,N/A,N/A,legal_label_rate,~300 (30s/100 files),not_measured,0,kaggle/pokemon-tcg-ai-battle-episodes-2026-07-18,diagnose_alignment_schema_before_retry,"previous valid_rate=0.5040 (16340/32422 decisions), same valid_rate=0.3975; gate failed. The later 0.8917 status-filtered diagnostic used post-action status and is now known to be contaminated. DATA-002 was not run."
DATA-001-status-fix,implemented_pending_server,"Using steps[action_step-1].status identifies the actual action submitter and removes inactive empty placeholders without hiding decisions",8fdd719a99ae2fb560f8ceb409d0362e4b81284d,4762ba17fc01ca95b8f4f2207a0277782d9027f4,synthetic_turn_switch_and_delayed_action,0,N/A,N/A,legal_label_rate,N/A,N/A,0,N/A,rerun_same_100_real_episodes,"Seven synthetic tests and end-to-end DATA-001/action-position/DATA-002 checks pass; corrected real valid rate and empty-action positions are unverified"
DATA-001-real-2026-07-18-v2,passed_real_data,"Using steps[action_step-1].status to gate transitions and previous-step observation alignment together explain real replay actions",cdf5148dcffbc5a9f0c47ad67f1edabfb60f0b47,4762ba17fc01ca95b8f4f2207a0277782d9027f4,real_public_replays_2026-07-18_100_episodes,0,N/A,N/A,legal_label_rate,~31s/100 files,not_measured,0,kaggle/pokemon-tcg-ai-battle-episodes-2026-07-18,proceed_to_data002,"Rerun of the same 100-episode 2026-07-18 sample after the status-position fix: previous valid_rate=1.0 (16111/16111 decisions valid, 0 invalid, 200 setup rows), same valid_rate=0.7842; unknown_submission_status_skipped=0, load_errors=0, gate_passed=true. Action-position diagnostic (scripts/diagnose_replay_action_positions.py) independently confirms lag=1 (== previous) is the only lag with 0 invalid decisions and empty_required_unresolved=0 across all tested lags [-1,0,1,2,3,4]."
DATA-002-real-2026-07-18,passed_real_data,"A validated single-player-view converter can produce leakage-controlled offline-RL rows with zero invalid actions",6a1d619ed84993de2f1d5cf5fdf407fe4ab678f0,4762ba17fc01ca95b8f4f2207a0277782d9027f4,real_public_replays_2026-07-18_100_episodes,0,N/A,N/A,invalid_action_rate,~167s/100 files,not_measured,0,kaggle/pokemon-tcg-ai-battle-episodes-2026-07-18,proceed_to_RL-BC-001,"First attempt at commit cdf5148 failed with episodes_missing_winner=100/100 despite invalid_decisions=0, because observation.current.result never leaves -1 in real replays (verified 32246/32246 occurrences across the 100-episode sample). Fixed terminal_winner() to resolve the winner from each player's reward at the terminal DONE step (matches top-level rewards with 0 mismatches, 100/100 episodes) and fall back to the old result-based scan only when no reward is present, at commit 6a1d619. Rerun: 16111 rows, 8397 policy rows (winners only), 16111 value rows, 0 invalid_decisions, 0 missing-winner episodes, gate_passed=true. gzip output verified: 16111 readable rows, schema_version 2, observation.logs absent from every row."
DATA-002-terminal-outcome-hardening,implemented_pending_server,"Ambiguous terminal rewards must not be overridden by legacy result fields, and terminal/top-level reward disagreement must block dataset promotion",02d9af29cc8ecdfb13a3a56b4dbe8c8b856580bc,4762ba17fc01ca95b8f4f2207a0277782d9027f4,synthetic_reward_edge_cases,0,N/A,N/A,reward_mismatch_rate,N/A,N/A,0,N/A,rerun_different_date_before_RL-BC-001,"13 unit tests and compile checks pass. DATA-002 now distinguishes absent from ambiguous terminal reward, rejects non-finite rewards, audits top-level reward consistency, explicitly reports zero-valued gate counters, and blocks mismatched output promotion. Real validation on an independent date is pending."
DATA-001-real-2026-07-19,passed_real_data,Second independent real snapshot confirms previous-step alignment under strict gate,ce10e356a2135ec5cfc1b58f212f48e41d4acf51,4762ba17fc01ca95b8f4f2207a0277782d9027f4,real_public_replays_2026-07-19_500_episodes,0,N/A,N/A,legal_label_rate,162.65s diagnosis and 58.66s strict audit,84.6,0,kaggle/pokemon-tcg-ai-battle-episodes-2026-07-19,proceed_to_data002_and_log_second_pass,"Stable rerun after rejecting a concurrent-download partial snapshot: 500/500 files; previous valid_rate 1.0 from 78776/78776 decisions; same 0.7853322569; lag rates [-1..4] 0.6265543522/0.6729592860/1.0/0.6756794023/0.6641220417/0.6134927798; best_observed_lag 1; 569 legal empty actions; empty_required_unresolved 0; unknown_submission_status_skipped 0; load_errors 0"
DATA-002-real-2026-07-19,passed_real_data,Second independent real snapshot converts to schema v2 rows with zero invalid decisions,ce10e356a2135ec5cfc1b58f212f48e41d4acf51,4762ba17fc01ca95b8f4f2207a0277782d9027f4,real_public_replays_2026-07-19_500_episodes,0,N/A,N/A,invalid_action_rate,106.48s over 500 files,89.4,0,kaggle/pokemon-tcg-ai-battle-episodes-2026-07-19,second_real_pass_complete_RL-BC-001_eligible_but_not_started,"episodes 500; rows 78776; policy_rows 41598; value_rows 78776; empty actions 569 all minCount=0; invalid_decisions 0; invalid_rate 0; episodes_missing_winner 0; episodes_unresolved_terminal_reward 0; reward_mismatches 0; unknown_submission_status_skipped 0; conflicting_episode_ids 0; load_errors 0; episodes_terminal_reward 500; top_level_reward_episodes 500; episodes_result_fallback 0; episode winners p0/p1=276/224; gzip rows 78776 all schema_version 2 and observation.logs absent"
RL-BC-001,completed_offline_baseline,Stateless masked candidate-pointer BC can imitate winner actions while decoding every validation row legally,e738d871196d7fff07763860ab123fb11912c508,4762ba17fc01ca95b8f4f2207a0277782d9027f4,20260720,0,N/A,N/A,validation_sequence_exact_match,66193,1944.3,3_fixed,N/A,improve_BC_STOP_and_add_history_before_AWR_IQL,"400/100 episode split with zero overlap; train/validation rows 63328/15448; sequence/set exact 0.342558/0.356335; empty/multi accuracy 0/0.208995; candidate precision/recall 0.386967/0.391677; legal decode 1.0; invalid/unsupported/skipped 0/0/0; checkpoint be895529eaf3ed5f7aa750189d75518549f07ea5ea95cc2a1c9e9ba041d194ba; only one formal seed completed"
